voivodeship,population_total
Dolnośląskie,2805.5
Kujawsko-pomorskie,1931.6
Lubelskie,1934.5
Lubuskie,947.8
Mazowieckie,5480
Małopolskie,3319
Opolskie,890.4
Podkarpackie,1955.4
Podlaskie,1079
Pomorskie,2297
Warmińsko-mazurskie,1294.7
Wielkopolskie,3438.5
Zachodniopomorskie,1579.8
a Based on balances prepared on the National Population and Housing Census 2021.,
a Na podstawie bilansów opracowanych w oparciu o dane Narodowego Spisu Powszechnego Ludności i Mieszkań 2021.,
Łódzkie,2327.2
Śląskie,4217.5
Świętokrzyskie,1123.2
